"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","per kg","$13.99","$13.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_1324_SSV_MEAT_1x1_1_RET_9fed471326.png","KR Castlemaine Cantonese Pork Shoudler per kg"
"","per kg","$19.99","$19.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1324_SSV_MEAT_1x1_2_RET_f23523ab45.png","Ready, Set…Cook! Slow Cooked Lamb Shoulder per kg"
"","500g","$19.99","$39.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/6/csm_1324_SSV_MEAT_1x1_3_RET_264d50b12d.png","The Fishmonger Smoked Salmon 500g"
"","per kg","$27.99","$27.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_1324_SSV_MEAT_1x1_4_RET_24d068b382.png","The Fishmonger Fresh Australian Black Tiger Prawns 1kg"
"","per kg","$14.99","$14.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_1002921_MARCH_SSV_B2_1x1_228x128_1_RET_14d8b710bc.png","Ironbark Pork Pork Ribs per kg"
"","null","$17.99","$35.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002921_MARCH_SSV_B2_1x1_228x128_2_RET_509a0757f4.png","The Fishmonger Fresh Salmon Fillets Lemon & Herb Crumb 4pk/500g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002781_REDUCTIONS_R13_1x1_228x128_3_RET_02cfacad1f.png","Julius Gold Premium Dog Food Meaty Beef Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/f/csm_1002781_REDUCTIONS_R13_1x1_228x128_4_RET_f20ab3864c.png","Julius Gold Premium Dog Food Meaty Chicken Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_1002781_REDUCTIONS_R13_1x1_228x128_5_RET_95335a01b7.png","Julius Gold Premium Dog Food Meaty Lamb Loaf Style 100g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R13_1x1_228x128_6_RET_82b6f9b86d.png","Julius Gold Premium Dog Food Meaty Loaf with Kangaroo 100g"
