"key","Brand","Product_id","Product_url","Sku_name"
"","Firewire","7217901666347","null","S Boss Ibolic Volcanic"
"","Creatures","1796168712235","null","Sex Wax Orange Cool"
"","Lost","7216553328683","https://surfboardempire.com.au/products/radripper","The Ripper"
"","Volcom","7209165520939","null","Volcom Stone LSE Tee"
"","Channel Islands","7209887957035","null","Dumpster Diver 2"
"","MF Softboards","4849017225259","null","Little Marley Softboard"
"","MF Softboards","7196561113131","littlemarleysoftboard","MF x SBE Beastie Softboard"
"","Lost","7203667116075","https://surfboardempire.com.au/products/driver-30-squash","RNF 96 - Long Toe"
"","Lost","7203667214379","https://surfboardempire.com.au/collections/lost","Smooth Operator - Long Toe"
"","Futures","7203320266795","null","Aipa X Mayhem Torches 5-Fin"
"","Pyzel","7200502808619","https://surfboardempire.com.au/products/radius","Radius Prime Squash"
"","Pyzel","7200502775851","https://surfboardempire.com.au/products/radius","Radius Prime Round"
"","Ocean & Earth","7138896248875","null","Indo 5 Panel Surf Cap"
"","Rip Curl","7138896478251","null","Vaporcool Elite Flexfit SB Cap"
"","Sun Bum","7141150949419","null","Clear 50+ Lotion"
"","Rip Curl","7150071349291","null","Vaporcool Delta Flexfit Cap"
"","Rip Curl","7150071382059","null","Wetsuit Icon Mid Brim Hat"
"","Former","7196532244523","null","Embrace Cap"
"","Former","7196532277291","null","Suspension T-Shirt"
"","Former","7196532310059","null","Utopic T-Shirt"
"","Former","7196532342827","null","Anderson 18 Trunk"
"","Former","7196532441131","null","Reynolds Striped Short Sleeve Shirt"
"","Former","7196532506667","null","Reynolds Distend Walkshort"
"","Ocean & Earth","7196532736043","null","Mens Surf Shirt Long Sleeve"
"","Captain Fin Co","7196532211755","null","Yago Dora Tri Fin"
"","Rip Curl","7150071414827","null","Vaporcool Flexfit Trucker"
"","Rip Curl","7150071480363","null","Vaporcool Phaser Flexfit Cap"
"","O'Neill","7152079306795","null","Lancaster Hat"
"","Patagonia","7159298490411","null","P-6 Label Maclure Hat"
"","Patagonia","7159298621483","null","M's Sunrise Rollers Responsibili-Tee"
"","FK","7067568767019","null","FK Longboard Allrounder Cover"
"","Creatures","7129850347563","null","Fish Icon"
"","Creatures","7129850380331","null","Shortboard Icon"
"","Ocean & Earth","7196532834347","null","Polyester Resin"
"","Ocean & Earth","7196532801579","null","Freestanding Board Rack"
"","Rip Curl","7159298555947","null","Script Wave Bloom Open Toe"
"","Patagonia","7159298785323","null","Atom Sling"
"","Patagonia","7159298850859","null","Recycled Market Tote"
"","Patagonia","7159298916395","null","Fitz Roy Icon Trad Cap"
"","Rip Curl","7159298949163","null","Brand Icon Tee"
"","Rip Curl","7159298981931","null","Bondi Bloom Open Toe"
"","Rip Curl","7159299047467","null","Searchers Canvas Adjustable Cap"
"","O'Neill","7159299899435","null","Wet Mat"
"","Joel Fitzgerald Surfboards","7159299538987","null","Cosmic Twin SW"
"","Joel Fitzgerald Surfboards","7195199176747","https://surfboardempire.com.au/pages/contact-new","Space Hawk (with spray)"
"","Joel Fitzgerald Surfboards","7195204452395","null","Dreamcatcher (clear)"
"","O'Neill","6690616016939","null","Hyperfreak TB3X Neo/Lycra Long Sleeve Crew"
"","Joel Fitzgerald Surfboards","7196492628011","https://surfboardempire.com.au/pages/contact-new","Dreamcatcher with Tint"
"","Vans","7074437955627","null","Ultrarange VR3"
"","O'Neill","7159299080235","null","Thermo X Long Sleeve Crew"
"","Rip Curl","7159299276843","null","La Isla Bloom Open Toe"
"","O'Neill","7159299702827","null","Trvlr UPF Traverse Short Sleeve Shirt"
"","Rip Curl","7159299997739","null","Classic Surf Bloom Open Toe"
"","O'Neill","7159300096043","null","Trlvr UPF Traverse Stripe Short Sleeve Shirt"
"","Creatures","7159834214443","null","Bodyboard Leash Plugs"
"","Joel Fitzgerald Surfboards","7195200225323","null","Space Hawk (clear)"
"","Joel Fitzgerald Surfboards","7159299571755","https://surfboardempire.com.au/products/temples-twin-with-spray","Cosmic Twin SW (With Spray)"
"","Futures","1796818370603","null","AM3 Honeycomb Tri Fins"
"","Ryder","7159299178539","null","Skimboard"
"","Thunderbolt","7193717932075","https://87tv90wb4okld5bc-25903862.shopifypreview.com/products/fcsiipowertwinpgfins","Mid 6 Twin - Thunderbolt Red"
"","Thunderbolt","7193717276715","https://87tv90wb4okld5bc-25903862.shopifypreview.com/products/fcs-ii-harley-mid-pc-tri-quad-fins","Mid 6 Mini"
"","Thunderbolt","7193712066603","null","Moe Mini - Thunderbolt Red"
"","Rip Curl","6864817061931","null","Wetsuit Icon Tee"
"","Sun Bum","7140853514283","null","Mineral SPF 50+ Sunscreen Lotion"
"","Patagonia","7159298883627","null","Quandary Brimmer"
"","Patagonia","7159298818091","null","M's Baggies Longs - 7 In"
"","Rip Curl","7124543668267","null","Brand Logo Bloom Open Toe"
"","O'Neill","7152079274027","null","Hyperfreak Hydro Tech 19 Boardshort"
"","O'Neill","7159300128811","null","Trvlr Expedition 20"""
"","Vans","7180170559531","null","Old Skool Vr3"
"","Rip Curl","7124543701035","null","Icons Of Surf Bloom Open Toe"
"","Rip Curl","7138896445483","null","Wetsuit Icon Trucker"
"","Firewire","7192453513259","https://surfboardempire.com.au/collections/firewire-1","S Boss Ibolic"
"","Otis","7138897297451","null","Divide"
"","O'Neill","7159834968107","null","Trvlr Upf Staple"
"","FK","7168433160235","null","FK Gold Wax 85g"
"","FK","7168433389611","null","Phix Super Mini Durarezn 1oz"
"","Patagonia","7180166037547","null","M's Funhoggers Shorts"
"","Patagonia","7180166594603","null","M's Fitz Roy Wild"
"","Patagonia","7180166692907","null","M's Baggies Naturals"
"","Patagonia","7180166889515","null","M's Summit Swell Organic T-Shirt"
"","Patagonia","7180166922283","null","Surf Brimmer Hat"
"","Rip Curl","7165398941739","null","Icons UPF Brushed Long Sleeve"
"","Rip Curl","7165399040043","null","Icons UPF Brushed Short Sleeve"
"","Limited Edition","7165768466475","null","Short Fin Socks"
"","Limited Edition","7165768728619","null","Premium Bodyboarding Fins"
"","Limited Edition","7165768761387","null","Sylock Swim Fin"
"","Ocean & Earth","7138895986731","null","Owen Wright Lite Trac Pro Traction"
"","Ocean & Earth","7138896019499","null","Ryan Callinan Lite Trac Pro Traction"
"","Ocean & Earth","7138896117803","null","Dakoda Walters Lite Trac Pro Traction"
"","Ocean & Earth","7138896150571","null","Tyler Wright Lite Trac Pro Traction"
"","Ocean & Earth","7138896183339","null","Kanoa Igarashi Lite Trac Pro Traction"
"","Gorilla Grip","7139335897131","null","Ozzie Traction"
"","Ocean & Earth","7140854366251","null","Frederico Morais Lite Trac Pro Pad"
"","Catch Surf","7150071742507","null","Beater Original 54 Finless - Lost"
"","Rip Curl","7165403889707","null","Mirage Medina"
"","Pyzel","7187702644779","https://surfboardempire.com.au/collections/pyzel","Precious"
"","Yow","7184216358955","null","Medina x Yow Camo 33.5″ Surfskate Panther"
"","Yow","7184216391723","null","Mick Fanning x Yow Falcon Performer 33.5"" Surfskate Red"
"","Yow","7184216457259","null","Mick Fanning x Yow Falcon Driver 32.5"" Surfskate Green"
"","Yow","7184216096811","null","Hossegor 29"" Grom Series Yow Surfskate Tie Dye"
